salary,fitted,residual,studentized_residual,country,college_tier,specialization,industry,hit_cap
58599.83789422069,71178.83662474898,-12578.998730528283,-2.4376156608505575,India,Tier 1,AI/ML,Other,FALSE
120000,132575.28525627303,-12575.285256273026,-2.4359631648065982,USA,Tier 1,AI/ML,Finance,TRUE
88083.31676151222,100645.79654402274,-12562.479782510518,-2.432436834628283,Germany,Tier 2,AI/ML,Finance,FALSE
120000,132532.28488735965,-12532.284887359656,-2.4272004528674116,USA,Tier 1,AI/ML,Tech,TRUE
82641.55191462912,95156.74180617301,-12515.18989154389,-2.424765261611491,Canada,Tier 2,Core CS,Consulting,FALSE
59754.38702930615,72141.21390831422,-12386.826879008077,-2.3999193886918126,Canada,Tier 3,Core CS,Finance,FALSE
76092.68062580863,88469.88230937628,-12377.201683567646,-2.3976275328549193,USA,Tier 3,Cloud,Manufacturing,FALSE
88240.64249369156,100538.38582457043,-12297.743330878877,-2.3824985644164016,Germany,Tier 1,Cybersecurity,Finance,FALSE
120000,132244.40631703034,-12244.406317030329,-2.371734071437892,USA,Tier 1,Data Science,Tech,TRUE
66417.65773362675,78634.59977876979,-12216.94204514304,-2.3664104307836933,Canada,Tier 3,Data Science,Healthcare,FALSE
65831.44278372354,78018.05012484525,-12186.607341121706,-2.3617022174589826,UK,Tier 3,Core CS,Manufacturing,FALSE
69404.07351755876,81582.94872776655,-12178.875210207789,-2.3586853037465705,Germany,Tier 2,Cloud,Consulting,FALSE
24320.52970903912,36370.46925326166,-12049.93954422254,-2.334375644506044,India,Tier 3,Cloud,Manufacturing,FALSE
38197.50068699336,50235.43111894782,-12037.930431954464,-2.331228396877656,India,Tier 2,Cybersecurity,Consulting,FALSE
93388.76047840972,105418.78354975172,-12030.023071342008,-2.330904542665167,Canada,Tier 1,Cybersecurity,Manufacturing,FALSE
44520.12091108901,56538.852330101785,-12018.731419012769,-2.327364830800793,India,Tier 2,Cybersecurity,Tech,FALSE
120000,132004.64455048428,-12004.644550484274,-2.3253999058639865,USA,Tier 1,AI/ML,Finance,TRUE
120000,132000.6771429163,-12000.677142916313,-2.324198180109949,USA,Tier 1,Data Science,Tech,TRUE
56247.319646691496,68201.21474819943,-11953.895101507942,-2.3156052986404894,Canada,Tier 3,Cloud,Healthcare,FALSE
120000,131913.45581633976,-11913.455816339774,-2.308057622735936,USA,Tier 1,Data Science,Finance,TRUE
81872.38592846633,93776.80022938203,-11904.41430091569,-2.30500593495094,Germany,Tier 2,AI/ML,Healthcare,FALSE
73623.55761260015,85525.62309029476,-11902.065477694605,-2.3056673946341757,Canada,Tier 3,Cloud,Tech,FALSE
73679.12215516304,85532.98555711895,-11853.863401955916,-2.2954046944239517,Canada,Tier 2,Core CS,Consulting,FALSE
120000,131839.61211414495,-11839.612114144951,-2.2935365540892847,USA,Tier 1,Data Science,Tech,TRUE
85753.39045659234,97590.02051995284,-11836.6300633605,-2.2927604042314997,Germany,Tier 1,Core CS,Healthcare,FALSE
47372.0408923402,59154.39450878786,-11782.353616447659,-2.2814874383515096,India,Tier 2,Data Science,Tech,FALSE
48529.51100125227,60271.642671240465,-11742.131669988197,-2.275401474286862,India,Tier 1,Cloud,Manufacturing,FALSE
58925.94261503763,70621.80434620872,-11695.861731171095,-2.2659776208058418,UK,Tier 3,Cybersecurity,Healthcare,FALSE
46232.6078778559,57919.98475133811,-11687.376873482208,-2.2628446783974794,India,Tier 2,AI/ML,Consulting,FALSE
63873.63695792135,75429.96160619034,-11556.32464826898,-2.238426855244371,Canada,Tier 3,Cybersecurity,Finance,FALSE
103826.645363255,115380.63007932955,-11553.984716074554,-2.238320898966172,Germany,Tier 1,AI/ML,Healthcare,FALSE
98655.96061577465,110178.78585077391,-11522.825234999273,-2.232442460585465,Canada,Tier 1,Core CS,Tech,FALSE
56225.81691049109,67732.48461261173,-11506.667702120643,-2.228944733080184,Germany,Tier 3,Cybersecurity,Healthcare,FALSE
48822.15356763202,60244.060110961116,-11421.9065433291,-2.2116778393519345,India,Tier 2,Data Science,Finance,FALSE
91256.39757881463,102676.86445519971,-11420.466876385075,-2.2122283181184836,Canada,Tier 1,Cloud,Consulting,FALSE
78283.39974581,89685.79073525469,-11402.390989444686,-2.208259729595141,UK,Tier 2,Cloud,Consulting,FALSE
120000,131396.00335244767,-11396.003352447688,-2.207403687054224,USA,Tier 1,AI/ML,Tech,TRUE
120000,131371.72007207928,-11371.720072079273,-2.202969854478053,USA,Tier 1,Data Science,Finance,TRUE
